,Code_Display,Description,Unit_or_type,Data_type,Experiment 1,,,,,,,,,,,Experiment 2,,,,,,,,,,,,,,,,,,
,,,,,8/6/82,18.5,32.2,21.1,4.1,,,,,,,8/5/80,10.2,29.5,22,4.2,,,,,,,,,,,,,,
,,,,,8/7/82,23,33.9,21.7,0.3,,,,,,,8/6/80,16.9,28.1,21.5,33.2,,,,,,,,,,,,,,
,,,,,8/8/82,21,33.9,26.1,0,,,,,,,8/7/80,10.4,28.7,21.7,1.4,,,,,,,,,,,,,,
,,,,,8/9/82,17.1,32.8,22.8,1.3,,,,,,,8/8/80,19,26.5,21.7,0.9,,,,,,,,,,,,,,
,,,,,8/10/82,16.6,33.3,23.3,0,,,,,,,8/9/80,12.3,28.9,22,0,,,,,,,,,,,,,,
,,,,,8/11/82,25.6,33.3,18.9,0,,,,,,,8/10/80,8.4,28.5,22.4,0.7,,,,,,,,,,,,,,
,,,,,8/12/82,19,33.3,20.6,0.3,,,,,,,8/11/80,12.9,27.3,22.5,0,,,,,,,,,,,,,,
,,,,,8/13/82,16.1,32.2,20.6,0.8,,,,,,,8/12/80,22,28.7,21.7,1,,,,,,,,,,,,,,
,,,,,8/14/82,16.4,31.7,22.2,0,,,,,,,8/13/80,20.2,30.8,22.7,10,,,,,,,,,,,,,,
,,,,,8/15/82,20.3,35,20.6,0.8,,,,,,,8/14/80,16,30,23,2.6,,,,,,,,,,,,,,
,,,,,8/16/82,20.3,33.9,21.1,0,,,,,,,8/15/80,20.5,30.7,22,0.4,,,,,,,,,,,,,,
,,,,,8/17/82,19,32.2,22.2,13.7,,,,,,,8/16/80,17.9,32,22.6,6,,,,,,,,,,,,,,
,,,,,8/18/82,16.6,26.7,20.6,3.3,,,,,,,8/17/80,18.7,30.2,21.5,8.2,,,,,,,,,,,,,,
,,,,,8/19/82,7.9,28.3,21.7,20.3,,,,,,,8/18/80,13.7,30,23.2,2.4,,,,,,,,,,,,,,
,,,,,8/20/82,20.4,32.2,21.1,0,,,,,,,8/19/80,7.8,29.5,21.5,117.5,,,,,,,,,,,,,,
,,,,,8/21/82,11.8,32.2,21.7,5.1,,,,,,,8/20/80,5.6,27,22.1,73.2,,,,,,,,,,,,,,
,,,,,8/22/82,16.6,32.2,22.2,1.3,,,,,,,8/21/80,16.2,24,21.6,14.3,,,,,,,,,,,,,,
,,,,,8/23/82,15.2,31.7,22.2,64.5,,,,,,,8/22/80,8.4,28.6,21.4,6.2,,,,,,,,,,,,,,
,,,,,8/24/82,18.9,33.3,22.8,1.3,,,,,,,8/23/80,12.6,25.6,20.7,1.4,,,,,,,,,,,,,,
,,,,,8/25/82,18.8,33.3,22.2,0,,,,,,,8/24/80,19.7,26.9,21.3,0,,,,,,,,,,,,,,
,,,,,8/26/82,21.4,35.6,23.9,0,,,,,,,8/25/80,16,29.7,22.1,0,,,,,,,,,,,,,,
,,,,,8/27/82,11,35.6,22.8,3.6,,,,,,,8/26/80,19.5,29.9,22,0,,,,,,,,,,,,,,
,,,,,8/28/82,18.6,35,22.2,0,,,,,,,8/27/80,19.6,29.6,21.8,0,,,,,,,,,,,,,,
,,,,,8/29/82,15.8,35,22.2,3.6,,,,,,,8/28/80,20.1,30.2,21.5,0,,,,,,,,,,,,,,
,,,,,8/30/82,22.5,31.1,21.1,0,,,,,,,8/29/80,20.4,29,21.8,0,,,,,,,,,,,,,,
,,,,,8/31/82,21.1,32.2,20.6,0,,,,,,,8/30/80,20.4,30.2,21,0,,,,,,,,,,,,,,
,,,,,9/1/82,13.2,32.2,20.6,0,,,,,,,8/31/80,16.8,30.5,22.5,0,,,,,,,,,,,,,,
,,,,,9/2/82,15.6,33.3,18.3,0,,,,,,,9/1/80,15.7,30,22.8,0,,,,,,,,,,,,,,
,,,,,9/3/82,16.9,34.4,22.2,0,,,,,,,9/2/80,7.8,29.3,21.9,34.3,,,,,,,,,,,,,,
,,,,,9/4/82,17,34.4,22.2,0,,,,,,,9/3/80,4.2,26.8,21.7,24.2,,,,,,,,,,,,,,
,,,,,9/5/82,12.2,33.9,21.7,11.9,,,,,,,9/4/80,6.8,24,21.5,5.1,,,,,,,,,,,,,,
,,,,,9/6/82,9,34.4,21.1,2,,,,,,,9/5/80,14,25.4,22,0.3,,,,,,,,,,,,,,
,,,,,9/7/82,11.1,30,20,0,,,,,,,9/6/80,19.3,28.7,21.8,27.6,,,,,,,,,,,,,,
,,,,,9/8/82,9.6,30.6,20.6,19,,,,,,,9/7/80,22.4,28.2,21.2,0,,,,,,,,,,,,,,
,,,,,9/9/82,7.1,30,21.1,39.9,,,,,,,9/8/80,22.9,29.8,20,0,,,,,,,,,,,,,,
,,,,,9/10/82,5.5,30,21.1,24.1,,,,,,,9/9/80,23.3,30,21.5,0,,,,,,,,,,,,,,
,,,,,9/11/82,13.4,32.8,21.7,7.6,,,,,,,9/10/80,22.9,29.9,21,0,,,,,,,,,,,,,,
,,,,,9/12/82,14.6,33.3,22.8,0,,,,,,,9/11/80,16.7,30.9,23,0,,,,,,,,,,,,,,
,,,,,9/13/82,14.5,33.3,22.8,2.5,,,,,,,9/12/80,11.9,30.5,22.8,0,,,,,,,,,,,,,,
,,,,,9/14/82,12.3,32.8,22.2,1.8,,,,,,,9/13/80,15.3,29.2,21.7,8.2,,,,,,,,,,,,,,
,,,,,9/15/82,13,32.2,19.4,0,,,,,,,9/14/80,22.6,28.6,20.8,0,,,,,,,,,,,,,,
,,,,,9/16/82,12.6,32.8,21.7,0,,,,,,,9/15/80,18.8,31.1,20.9,0,,,,,,,,,,,,,,
,,,,,9/17/82,13.9,32.8,21.7,0,,,,,,,9/16/80,17.1,28.1,21.5,6.8,,,,,,,,,,,,,,
,,,,,9/18/82,12.2,32.8,21.1,0,,,,,,,9/17/80,19.1,29,21.5,8.5,,,,,,,,,,,,,,
,,,,,9/19/82,12.2,32.8,21.1,15.7,,,,,,,9/18/80,18.3,30.2,20.6,15.4,,,,,,,,,,,,,,
,,,,,9/20/82,11.1,31.7,21.1,7.4,,,,,,,9/19/80,16.2,31.1,22.8,0,,,,,,,,,,,,,,
,,,,,9/21/82,5.2,29.4,21.1,12.7,,,,,,,9/20/80,13.2,30.5,22.5,2,,,,,,,,,,,,,,
,,,,,9/22/82,11.4,27.8,19.4,0,,,,,,,9/21/80,14.4,30.5,23.2,0,,,,,,,,,,,,,,
,,,,,9/23/82,8.9,27.2,15,0,,,,,,,9/22/80,21.3,30.6,20.7,12.8,,,,,,,,,,,,,,
,,,,,9/24/82,11.2,30,17.8,0,,,,,,,9/23/80,17.1,31,21.9,0,,,,,,,,,,,,,,
,,,,,9/25/82,5,28.9,20,8.9,,,,,,,9/24/80,21.2,30.6,21.8,8,,,,,,,,,,,,,,
,,,,,9/26/82,7.6,25,16.7,24.1,,,,,,,9/25/80,22.7,30.3,22.3,0,,,,,,,,,,,,,,
,,,,,9/27/82,15.6,28.9,14.4,0,,,,,,,9/26/80,23.9,31,21,0,,,,,,,,,,,,,,
,,,,,9/28/82,13.9,29.4,16.7,0,,,,,,,9/27/80,23.9,31.7,21.5,0,,,,,,,,,,,,,,
,,,,,9/29/82,12.1,29.4,18.3,0,,,,,,,9/28/80,23,32.3,22.8,0,,,,,,,,,,,,,,
,,,,,9/30/82,6.7,28.9,21.1,2.5,,,,,,,9/29/80,23.2,32.4,22.5,0,,,,,,,,,,,,,,
,,,,,10/1/82,8,26.7,21.7,0,,,,,,,9/30/80,19.9,32,22.8,0,,,,,,,,,,,,,,
,,,,,10/2/82,10,28.3,19.4,0,,,,,,,10/1/80,23.5,31.6,21.5,0,,,,,,,,,,,,,,
,,,,,10/3/82,19,30,18.3,0,,,,,,,10/2/80,23.3,32.5,19.3,0,,,,,,,,,,,,,,
,,,,,10/4/82,16,31.7,20.6,0,,,,,,,10/3/80,23.1,32.3,17.3,0,,,,,,,,,,,,,,
,,,,,10/5/82,9,31.1,22.8,0,,,,,,,10/4/80,20.8,33,20.5,0,,,,,,,,,,,,,,
,,,,,10/6/82,16,31.1,21.7,13,,,,,,,10/5/80,23.9,32.8,19,0,,,,,,,,,,,,,,
,,,,,10/7/82,13,30,21.1,0,,,,,,,10/6/80,23.4,32.9,16.9,0,,,,,,,,,,,,,,
,,,,,10/8/82,17,31.7,17.2,0,,,,,,,10/7/80,23.6,33.2,17,0,,,,,,,,,,,,,,
,,,,,10/9/82,15,31.7,18.9,0,,,,,,,10/8/80,22.9,33,18,0,,,,,,,,,,,,,,
,,,,,10/10/82,15,32.8,20,0,,,,,,,10/9/80,22.7,33.4,18.5,0,,,,,,,,,,,,,,
,,,,,10/11/82,13,32.2,21.7,0,,,,,,,10/10/80,22.9,33.4,21.1,0,,,,,,,,,,,,,,
,,,,,10/12/82,11,29.4,21.7,0,,,,,,,10/11/80,22.2,32.2,20,0,,,,,,,,,,,,,,
,,,,,10/13/82,14,30.6,18.9,0,,,,,,,10/12/80,21.3,33,19,0,,,,,,,,,,,,,,
,,,,,10/14/82,10,28.9,16.7,0,,,,,,,10/13/80,22.5,33.4,20.1,0,,,,,,,,,,,,,,
,,,,,10/15/82,15,27.8,11.7,0,,,,,,,10/14/80,23,33.5,18.3,0,,,,,,,,,,,,,,
,,,,,10/16/82,9,26.1,10,0,,,,,,,10/15/80,23,32.5,17,0,,,,,,,,,,,,,,
,,,,,10/17/82,14,26.7,13.3,0,,,,,,,10/16/80,21.3,32.2,15.3,0,,,,,,,,,,,,,,
,,,,,10/18/82,6,25.6,15,0,,,,,,,10/17/80,16.9,32.5,17.1,0,,,,,,,,,,,,,,
,,,,,10/19/82,14,28.3,16.1,0,,,,,,,10/18/80,8.5,30.9,19.5,6.3,,,,,,,,,,,,,,
,,,,,10/20/82,13,30,16.7,0,,,,,,,10/19/80,11.5,26,19.4,0,,,,,,,,,,,,,,
,,,,,10/21/82,14,30,15,0,,,,,,,10/20/80,15.9,29,22.5,0,,,,,,,,,,,,,,
,,,,,10/22/82,11,29.4,16.1,0,,,,,,,10/21/80,19.2,29.8,20.4,0,,,,,,,,,,,,,,
,,,,,10/23/82,2,27.8,14.4,16.5,,,,,,,10/22/80,21.7,31.3,19.4,0,,,,,,,,,,,,,,
,,,,,10/24/82,14,18.9,8.9,1.3,,,,,,,10/23/80,22.1,31.4,16.4,0,,,,,,,,,,,,,,
,,,,,10/25/82,16,20.6,5.6,0,,,,,,,10/24/80,21.8,32.8,16.7,0,,,,,,,,,,,,,,
,,,,,10/26/82,15,22.8,6.1,0,,,,,,,10/25/80,20.4,32,17.5,0,,,,,,,,,,,,,,
,,,,,10/27/82,15,23.9,7.2,0,,,,,,,10/26/80,20.9,32,18.7,0,,,,,,,,,,,,,,
,,,,,10/28/82,14,25.6,11.7,0,,,,,,,10/27/80,21,32.4,18,0,,,,,,,,,,,,,,
,,,,,10/29/82,14,27.8,13.3,0,,,,,,,10/28/80,21.4,31.7,16,0,,,,,,,,,,,,,,
,,,,,10/30/82,9,27.8,16.1,0,,,,,,,10/29/80,21.1,31.2,16,0,,,,,,,,,,,,,,
,,,,,10/31/82,7,27.8,18.9,0,,,,,,,10/30/80,21.7,32,16.5,0,,,,,,,,,,,,,,
,,,,,11/1/82,11,29.4,20,0.3,,,,,,,10/31/80,21.5,31.6,14.7,0,,,,,,,,,,,,,,
,,,,,11/2/82,9,29.4,20.6,0,,,,,,,11/1/80,21.2,31.5,15.1,0,,,,,,,,,,,,,,
,,,,,11/3/82,9,28.9,19.4,21.6,,,,,,,11/2/80,21,30.7,15.3,0,,,,,,,,,,,,,,
,,,,,11/4/82,9,26.7,17.8,16.5,,,,,,,11/3/80,21.1,31,12.5,0,,,,,,,,,,,,,,
,,,,,11/5/82,10,18.3,7.2,0,,,,,,,11/4/80,21.1,30.4,13.2,0,,,,,,,,,,,,,,
,,,,,11/6/82,12,18.9,2.2,0,,,,,,,11/5/80,19.9,30.5,13.8,0,,,,,,,,,,,,,,
,,,,,11/7/82,12,21.1,7.8,0,,,,,,,11/6/80,20.1,31,16.7,0,,,,,,,,,,,,,,
,,,,,11/8/82,13,24.4,12.8,0,,,,,,,11/7/80,20.1,31,15.1,0,,,,,,,,,,,,,,
,,,,,11/9/82,11,25,12.8,0,,,,,,,11/8/80,20.1,31.7,16.6,0,,,,,,,,,,,,,,
,,,,,11/10/82,12,25.6,10.6,0,,,,,,,11/9/80,20.9,30.4,13.6,0,,,,,,,,,,,,,,
,,,,,11/11/82,8,26.7,15.6,0,,,,,,,11/10/80,22.3,29.5,11.6,0,,,,,,,,,,,,,,
,,,,,11/12/82,7,27.8,14.4,0,,,,,,,11/11/80,14.6,28.8,19.2,0,,,,,,,,,,,,,,
,,,,,11/13/82,11,31.1,13.3,3.6,,,,,,,11/12/80,13.4,29.5,20.3,0.3,,,,,,,,,,,,,,
,,,,,11/14/82,12,25,6.7,0,,,,,,,11/13/80,8.4,29.1,20.8,0,,,,,,,,,,,,,,
,,,,,11/15/82,10,23.9,15,0,,,,,,,11/14/80,12.4,25.8,21.4,0,,,,,,,,,,,,,,
,,,,,11/16/82,11,23.9,9.4,0,,,,,,,11/15/80,10.6,28.5,21,0,,,,,,,,,,,,,,
,,,,,11/17/82,13,26.7,15.6,0,,,,,,,11/16/80,12.7,27.9,21.5,0,,,,,,,,,,,,,,
,,,,,11/18/82,13,28.3,17.8,0,,,,,,,11/17/80,17.6,29.5,20.2,0,,,,,,,,,,,,,,
,,,,,11/19/82,11,26.7,17.8,0,,,,,,,11/18/80,17,30.4,19.5,0,,,,,,,,,,,,,,
,,,,,11/20/82,12,25.6,17.2,0,,,,,,,11/19/80,17.2,30.6,18.2,0,,,,,,,,,,,,,,
,,,,,11/21/82,14,27.2,17.2,0,,,,,,,11/20/80,18.5,30.4,19.5,0,,,,,,,,,,,,,,
,,,,,11/22/82,13,26.1,18.3,0,,,,,,,11/21/80,17.4,30.1,19.4,0,,,,,,,,,,,,,,
,,,,,11/23/82,13,27.2,14.4,0,,,,,,,11/22/80,18.6,29.9,17.5,0,,,,,,,,,,,,,,
,,,,,11/24/82,13,27.8,12.2,0,,,,,,,11/23/80,18.8,30.7,18,0,,,,,,,,,,,,,,
,,,,,11/25/82,15,27.2,12.8,0,,,,,,,11/24/80,20.6,30.2,14.9,0,,,,,,,,,,,,,,
,,,,,11/26/82,12,26.7,15.6,0,,,,,,,11/25/80,20,30,12.5,0,,,,,,,,,,,,,,
,,,,,11/27/82,3,27.8,15.6,0,,,,,,,11/26/80,20.4,28.6,12.9,0,,,,,,,,,,,,,,
,,,,,11/28/82,10,28.9,15.6,0,,,,,,,11/27/80,20.2,28.9,12.7,0,,,,,,,,,,,,,,
,,,,,11/29/82,10,27.2,18.9,0,,,,,,,11/28/80,20,28.9,13.6,0,,,,,,,,,,,,,,
,,,,,11/30/82,9,29.4,19.4,0,,,,,,,11/29/80,16.2,29.4,13.5,0,,,,,,,,,,,,,,
,,,,,12/1/82,8,28.9,20.6,0,,,,,,,11/30/80,19.5,28.5,11.7,0,,,,,,,,,,,,,,
,,,,,12/2/82,10,29.4,21.1,0,,,,,,,12/1/80,19.5,27.5,12.7,0,,,,,,,,,,,,,,
,,,,,12/3/82,11,29.4,18.9,0,,,,,,,12/2/80,19.1,27.8,11.5,0,,,,,,,,,,,,,,
,,,,,12/4/82,11,28.9,18.3,0,,,,,,,12/3/80,18.9,28,12.5,0,,,,,,,,,,,,,,
,,,,,12/5/82,8,28.9,17.2,0,,,,,,,12/4/80,12.9,27.5,14.5,0,,,,,,,,,,,,,,
,,,,,12/6/82,2,27.2,15.6,0,,,,,,,12/5/80,13.5,26.9,16.9,0,,,,,,,,,,,,,,
,,,,,12/7/82,5,21.7,14.4,0,,,,,,,12/6/80,18.6,27.3,17.5,0,,,,,,,,,,,,,,
,,,,,12/8/82,2,20,17.2,0,,,,,,,12/7/80,19.8,28.3,12,0,,,,,,,,,,,,,,
,,,,,12/9/82,7,23.3,14.4,0,,,,,,,12/8/80,19.4,29.6,12,0,,,,,,,,,,,,,,
,,,,,12/10/82,2,22.2,15.6,3.3,,,,,,,12/9/80,19,29.6,12.4,0,,,,,,,,,,,,,,
,,,,,12/11/82,5,26.1,17.2,0,,,,,,,12/10/80,19.2,29.6,13.3,0,,,,,,,,,,,,,,
,,,,,12/12/82,2,23.9,10,19,,,,,,,12/11/80,20.1,30,12.7,0,,,,,,,,,,,,,,
,,,,,12/13/82,11,12.8,2.8,0,,,,,,,12/12/80,19.8,30,13.8,0,,,,,,,,,,,,,,
,,,,,12/14/82,6,18.9,3.3,0,,,,,,,12/13/80,19.9,30,11.7,0,,,,,,,,,,,,,,
,,,,,12/15/82,8,25,12.8,0,,,,,,,12/14/80,20.3,28.6,9.5,0,,,,,,,,,,,,,,
,,,,,12/16/82,6,23.9,15.6,13.7,,,,,,,12/15/80,20.4,29,9.8,0,,,,,,,,,,,,,,
,,,,,12/17/82,11,20,2.8,0,,,,,,,12/16/80,20.6,29.4,8.8,0,,,,,,,,,,,,,,
,,,,,12/18/82,11,15.6,-1.1,0,,,,,,,12/17/80,20.3,29.5,9.4,0,,,,,,,,,,,,,,
,,,,,12/19/82,9,20,-1.1,0,,,,,,,12/18/80,19.9,29,9.9,0,,,,,,,,,,,,,,
,,,,,12/20/82,11,18.9,1.1,0,,,,,,,12/19/80,19.8,29.4,10.7,0,,,,,,,,,,,,,,
,,,,,12/21/82,11,19.4,0.6,0,,,,,,,12/20/80,19.5,29.5,12.2,0,,,,,,,,,,,,,,
,,,,,12/22/82,11,19.4,0.6,0,,,,,,,12/21/80,18.3,29.7,14.5,0,,,,,,,,,,,,,,
,,,,,12/23/82,9,23.3,4.4,0,,,,,,,12/22/80,12,29.2,18,0,,,,,,,,,,,,,,
,,,,,12/24/82,9,26.7,13.3,0,,,,,,,12/23/80,10.1,26.2,19,0,,,,,,,,,,,,,,
,,,,,12/25/82,11,27.2,15.6,0,,,,,,,12/24/80,16.2,26.4,18.3,2,,,,,,,,,,,,,,
,,,,,12/26/82,10,27.2,15.6,0,,,,,,,12/25/80,13.1,28.2,13.6,0,,,,,,,,,,,,,,
,,,,,12/27/82,6,25,16.7,0,,,,,,,12/26/80,11.2,26.2,16.5,0,,,,,,,,,,,,,,
,,,,,12/28/82,8,26.7,16.1,0,,,,,,,12/27/80,15.7,26.4,18,0,,,,,,,,,,,,,,
,,,,,12/29/82,7,26.7,14.4,0,,,,,,,12/28/80,18.3,27.5,17,0,,,,,,,,,,,,,,
,,,,,12/30/82,2,23.3,13.9,0.5,,,,,,,12/29/80,16.2,28,18.3,0,,,,,,,,,,,,,,
,,,,,12/31/82,2,16.7,12.8,0.8,,,,,,,12/30/80,17,26.8,15.9,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12/31/80,17.6,27.7,15,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
